id,name,lat,lon
358951984,Christ Temple Family Life Center,39.6538851,-104.811759
358951991,White Stone Presbyterian Church,39.6389469,-104.8257434
358951996,Aurora Korean Church,39.6372222,-104.8280556
358952000,First Church of Christ Scientist,39.6380556,-104.8036111
358952003,Holy Love Lutheran Church,39.6405556,-104.8091667
358952007,Saint Lawrence Korean Catholic Church,39.6377778,-104.7875
358952010,New Day Christian Fellowship Church,39.6286099,-104.797069
358952135,Church of Christ of Cherry Vista,39.6186111,-104.8675
358952138,All God's Children Assembly Church,39.618922,-105.0051609
358952143,Centennial Lutheran Church,39.6244444,-105.0344444
